"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1951136124774043730","Fri Aug 01 04:21:17 +0000 2025","0","Tidak ada Indonesia tanpa Papua. Maka pembangunan di Papua harus terus didorong demi keutuhan negeri ini. https://t.co/NnUqZGHIPR","1951136124774043730","","","in","","0","0","0","https://x.com/undefined/status/1951136124774043730","1908877552397025280",
"1943248188670120027","Thu Jul 10 09:57:26 +0000 2025","0","Sependapat betul dari Bumi Cendrawasih cerita pembangunan riil: jalan pendidikan listrik. Bukan bebas dari tantangan tapi kita tidak menyerah. Karena tak ada daerah yang bisa terbelakang. Karena PAPUA Adalah INDONESIA","1943248188670120027","","","in","","0","0","0","https://x.com/undefined/status/1943248188670120027","1712083227702345728",
"1943247497197162592","Thu Jul 10 09:54:41 +0000 2025","1","Sependapat betul dari Bumi Cendrawasih cerita pembangunan konkret: jalan pendidikan listrik. Bukan bebas dari hambatan tapi kita tak mundur. Karena tidak ada daerah yang boleh terbelakang. Karena PAPUA Adalah INDONESIA https://t.co/OtZixI3Uyh","1943247497197162592","https://pbs.twimg.com/media/GvfNSeoW8AAyrY8.jpg","","in","","0","0","0","https://x.com/undefined/status/1943247497197162592","1472111399555923968",
"1943246297403920439","Thu Jul 10 09:49:55 +0000 2025","0","Sepakat banget dari Papua kisah kemajuan konkret: jalan pendidikan listrik. Bukan bebas dari hambatan tapi kita tidak berputus asa. Karena tidak ada daerah yang boleh terpinggirkan. Karena PAPUA Adalah INDONESIA","1943246297403920439","","","in","","0","0","0","https://x.com/undefined/status/1943246297403920439","1712284315390976000",
"1943236255657168910","Thu Jul 10 09:10:01 +0000 2025","0","Setuju sekali dari Tanah Papua kisah pembangunan nyata: jalan sekolah listrik. Bukan lepas dari tantangan tapi kita tidak mundur. Karena tak ada wilayah yang seharusnya terbelakang. Karena PAPUA Adalah INDONESIA","1943236255657168910","","","in","","0","0","0","https://x.com/undefined/status/1943236255657168910","1549321416319074304",
"1943234150489821448","Thu Jul 10 09:01:39 +0000 2025","0","Sepakat sekali dari Papua cerita kemajuan konkret: infrastruktur jalan sekolah listrik. Bukan tanpa hambatan tapi kita tidak menyerah. Karena tak ada wilayah yang boleh tertinggal. Karena PAPUA Adalah INDONESIA","1943234150489821448","","","in","","0","0","0","https://x.com/undefined/status/1943234150489821448","1760120974836682752",
"1943232600048570598","Thu Jul 10 08:55:30 +0000 2025","0","Sependapat banget dari Tanah Papua cerita kemajuan riil: infrastruktur jalan sekolah listrik. Bukan bebas dari hambatan tapi kita tidak berputus asa. Karena tidak ada wilayah yang seharusnya terpinggirkan. Karena PAPUA Adalah INDONESIA https://t.co/xzWyhgxBiZ","1943232600048570598","https://pbs.twimg.com/media/Gve_vSDWYAECuSz.jpg","","in","","0","0","0","https://x.com/undefined/status/1943232600048570598","1542698554426155009",
"1943231734839120147","Thu Jul 10 08:52:03 +0000 2025","0","Sependapat betul dari Tanah Papua cerita kemajuan konkret: prasarana transportasi fasilitas belajar listrik. Bukan tanpa hambatan tapi kita tidak berputus asa. Karena tidak ada wilayah yang seharusnya tertinggal. Karena PAPUA Adalah INDONESIA https://t.co/HNEFZsTnun","1943231734839120147","https://pbs.twimg.com/media/Gve-9DpakAAXdI1.jpg","","in","","0","0","0","https://x.com/undefined/status/1943231734839120147","1542689839283576832",
"1943231117219270919","Thu Jul 10 08:49:36 +0000 2025","0","Sepakat banget dari Papua cerita kemajuan konkret: jalan fasilitas belajar listrik. Bukan lepas dari masalah tapi kita tak berputus asa. Karena tidak ada wilayah yang bisa tertinggal. Karena PAPUA Adalah INDONESIA https://t.co/bvlYQTC2pD","1943231117219270919","https://pbs.twimg.com/media/Gve-Y2xbAAA5O1f.jpg","","in","","0","0","0","https://x.com/undefined/status/1943231117219270919","1640215665385836544",
"1943230630516658481","Thu Jul 10 08:47:40 +0000 2025","0","Sependapat sekali dari Bumi Cendrawasih cerita perkembangan konkret: jalan pendidikan listrik. Bukan bebas dari tantangan tapi kita tak berputus asa. Karena tidak ada daerah yang bisa terbelakang. Karena PAPUA Adalah INDONESIA https://t.co/FtXntqttRu","1943230630516658481","https://pbs.twimg.com/media/Gve98xiakAE2oQw.jpg","","in","","0","0","0","https://x.com/undefined/status/1943230630516658481","1549601402254929920",
"1943227658055348581","Thu Jul 10 08:35:51 +0000 2025","0","Sependapat banget dari Papua cerita pembangunan nyata: prasarana transportasi fasilitas belajar listrik. Bukan tanpa hambatan tapi kita tidak berputus asa. Karena tidak ada daerah yang boleh terpinggirkan. Karena PAPUA Adalah INDONESIA https://t.co/h9677umrs4","1943227658055348581","https://pbs.twimg.com/media/Gve7P2wakAA3mZn.jpg","","in","","0","0","0","https://x.com/undefined/status/1943227658055348581","1635545026603384833",
"1943226837297172601","Thu Jul 10 08:32:36 +0000 2025","0","Sepakat banget dari Bumi Cendrawasih narasi perkembangan riil: infrastruktur jalan fasilitas belajar listrik. Bukan bebas dari tantangan tapi kita tiada menyerah. Karena tidak ada daerah yang boleh terbelakang. Karena PAPUA Adalah INDONESIA https://t.co/9701FzgNja","1943226837297172601","https://pbs.twimg.com/media/Gve6e3MW0AAFZwO.jpg","","in","","0","0","0","https://x.com/undefined/status/1943226837297172601","1715445021720399872",
"1943226530123145369","Thu Jul 10 08:31:22 +0000 2025","0","Sependapat betul dari Papua cerita pembangunan riil: infrastruktur jalan sekolah listrik. Bukan bebas dari masalah tapi kita tak berputus asa. Karena tidak ada daerah yang bisa terbelakang. Karena PAPUA Adalah INDONESIA","1943226530123145369","","","in","","0","0","0","https://x.com/undefined/status/1943226530123145369","1542375480606674944",
"1943224857019437170","Thu Jul 10 08:24:43 +0000 2025","0","Sepakat sekali dari Bumi Cendrawasih kisah perkembangan konkret: prasarana transportasi pendidikan listrik. Bukan tanpa tantangan tapi kita tidak menyerah. Karena tak ada kawasan yang boleh tertinggal. Karena PAPUA Adalah INDONESIA https://t.co/W3i1dGA3pc","1943224857019437170","https://pbs.twimg.com/media/Gve4sSIWkAAuy8Q.jpg","","in","","0","0","0","https://x.com/undefined/status/1943224857019437170","1476402223600988160",
"1943224485899047315","Thu Jul 10 08:23:15 +0000 2025","0","Setuju banget dari Bumi Cendrawasih narasi pembangunan nyata: jalan fasilitas belajar listrik. Bukan tanpa masalah tapi kita tak menyerah. Karena tidak ada wilayah yang bisa terbelakang. Karena PAPUA Adalah INDONESIA https://t.co/fh0khygatB","1943224485899047315","https://pbs.twimg.com/media/Gve4WkYWEAE8BKk.jpg","","in","","0","0","0","https://x.com/undefined/status/1943224485899047315","1636200241023025153",
"1943224083233280413","Thu Jul 10 08:21:39 +0000 2025","0","Sependapat banget dari Bumi Cendrawasih kisah perkembangan riil: prasarana transportasi pendidikan listrik. Bukan bebas dari hambatan tapi kita tiada menyerah. Karena tidak ada wilayah yang bisa terpinggirkan. Karena PAPUA Adalah INDONESIA https://t.co/ijYHjSGOir","1943224083233280413","https://pbs.twimg.com/media/Gve3-9nakAEWI0p.jpg","","in","","0","0","0","https://x.com/undefined/status/1943224083233280413","1475824634276630531",
"1943223201565163985","Thu Jul 10 08:18:09 +0000 2025","1","Sependapat sekali dari Bumi Cendrawasih cerita pembangunan nyata: jalan sekolah listrik. Bukan lepas dari tantangan tapi kita tidak mundur. Karena tidak ada wilayah yang boleh terpinggirkan. Karena PAPUA Adalah INDONESIA","1943223201565163985","","","in","","0","0","0","https://x.com/undefined/status/1943223201565163985","1643503395448438784",
"1943222371802058801","Thu Jul 10 08:14:51 +0000 2025","0","Sependapat sekali dari Papua kisah pembangunan nyata: jalan fasilitas belajar listrik. Bukan tanpa tantangan tapi kita tidak berputus asa. Karena tidak ada wilayah yang boleh terpinggirkan. Karena PAPUA Adalah INDONESIA https://t.co/1E0Qs6TJEt","1943222371802058801","https://pbs.twimg.com/media/Gve2cFKWgAIxRcZ.jpg","","in","","0","0","0","https://x.com/undefined/status/1943222371802058801","1640942447844028417",
"1943221009957687621","Thu Jul 10 08:09:26 +0000 2025","0","Setuju betul dari Papua narasi perkembangan nyata: infrastruktur jalan pendidikan listrik. Bukan lepas dari tantangan tapi kita tidak menyerah. Karena tak ada wilayah yang seharusnya terbelakang. Karena PAPUA Adalah INDONESIA https://t.co/5hMVOREv5o","1943221009957687621","https://pbs.twimg.com/media/Gve1M8sXgAEI6W9.jpg","","in","","0","0","0","https://x.com/undefined/status/1943221009957687621","1542368694009233408",
"1943220371081101526","Thu Jul 10 08:06:54 +0000 2025","0","Setuju betul dari Bumi Cendrawasih kisah perkembangan konkret: jalan sekolah listrik. Bukan bebas dari tantangan tapi kita tiada mundur. Karena tidak ada wilayah yang seharusnya terpinggirkan. Karena PAPUA Adalah INDONESIA https://t.co/U2kaMEdLkh","1943220371081101526","https://pbs.twimg.com/media/Gve0ldeXYAAHAfF.jpg","","in","","0","0","0","https://x.com/undefined/status/1943220371081101526","1475683142769856519",
